Date;Carbon F
20140630;5,86
20140701;6,05
20140702;6,11
20140703;6,03
20140704;5,69
20140707;5,58
20140708;5,77
20140709;5,83
20140710;5,7
20140711;5,76
20140714;5,9
20140715;5,96
20140716;6,06
20140717;6,17
20140718;6,02
20140721;6,08
20140722;6,19
20140723;6,19
20140724;6,07
20140725;6,15
20140728;6,21
20140729;6,05
20140730;6,15
20140731;6,23
20140801;6,29
20140804;6,25
20140805;6,22
20140806;6,23
20140807;5,96
20140808;5,99
20140811;6,15
20140812;6,13
20140813;6,25
20140814;6,25
20140815;6,4
20140818;6,36
20140819;6,46
20140820;6,44
20140821;6,37
20140822;6,38
20140825;6,35
20140826;6,32
20140827;6,38
20140828;6,46
20140829;6,41
20140901;6,42
20140902;6,41
20140903;6,34
20140904;6,13
20140905;6,28
20140908;6,29
20140909;6,14
20140910;6,1
20140911;6,12
20140912;6,06
20140915;5,93
20140916;5,81
20140917;5,9
20140918;5,99
20140919;6,03
20140922;6
20140923;5,67
20140924;5,82
20140925;5,82
20140926;5,93
20140929;5,77
20140930;5,84
20141001;5,81
20141002;5,69
20141003;5,68
20141006;5,68
20141007;5,73
20141008;6,05
20141009;6,12
20141010;6,04
20141013;6,06
20141014;6,08
20141015;6,15
20141016;6,21
20141017;6,13
20141020;6,14
20141021;6,18
20141022;6,23
20141023;6,34
